Municipality,Population,Votedyes,Votedno,Voted,DidNotVote,Affected1984,Affected1985,Affected1986,Affected1987,Affected1988,Affected1989,Affected1990,Affected1991,Affected1992,Affected1993,Affected1994,Affected1995,Affected1996,Affected1997,Affected1998,Affected1999,Affected2000,Affected2001,Affected2002,Affected2003,Affected2004,Affected2005,Affected2006,Affected2007,Affected2008,Affected2009,Affected2010,Affected2011,Affected2012,Affected2013,Affected2014,Affected2015,Affected2016,Affected2017,Weightedaffected84to2002,Weightedaffected2003to2016,Weightedaffected,Affected9999,Total_affected,affected84to2002,affected2003to2016,Divipola,Departamento,Municipio,Rurality2010,PovertyIndex2013,IDHMpnud2010,ArmedGroups,Rezagoescolar,COBERTURA_NETA_MEDIA,ProportionAffected,ProporTotAff,Weightedaffected10group,ConflictIndex,ndicedeindicenciadelconflictocategora,ConflictCategory
5001,2486723,37.02,62.97,46.06,53.94,7022,514,910,1211,1919,2722,4738,5690,5427,6177,5903,5610,6424,6498,7043,8005,8988,11488,15182,9371,5165,7690,3517,4533,5139,9528,13119,20160,25344,16212,11596,7740,4173,3800,222466343,288053966,510520309,24,258582,111471,143287,5001,Antioquia,Medellín, ,0.896,0.7469528,1,25,55.81,205.2984225,0.103985044,10,0.012554347,Medio bajo,2
5002,19195,38.1,61.89,23.87,76.13,84,4,10,31,79,55,63,55,24,47,61,177,137,133,239,514,1265,1351,2457,1635,1145,749,568,439,373,93,116,74,81,34,73,26,6,8,13569929,10852428,24422357,8,12214,6786,5412,5002,Antioquia,Abejorral,0.4482,0.7858,0.628456538,0,31.6,38.6,1272.329096,0.636311539,8,0.028004412,Medio,3
5004,2075,39.08,60.91,29.51,70.49,7,16,24,27,22, ,11,24,8,6,77,67,257,104,276,349,497,89,91,105,101,73,30,18,39,5,14,10,13,3,7, ,6,5,3899498,850386,4749884, ,2381,1952,424,5004,Antioquia,Abriaquí,0.5798,0.7647,0.654926353,0,25.6,55.07,2289.100723,1.14746988,5,0.031455316,Medio,3
5021,3435,58.12,41.87,37.9,62.1,88,4, ,5,12,29,10,5,19,17,22,33,50,52,109,314,1641,2971,906,538,203,124,117,111,59,37,19,1,23,6,8,3,9,2,12575186,2522186,15097372, ,7547,6287,1258,5021,Antioquia,Alejandría,0.484,0.8002,0.646681492,0,31.3,61.4,4395.159243,2.197088792,8,0.039624069,Alto,4
5030,29770,33.48,66.51,28.91,71.09,81,21,17,16,77,47,39,44,86,91,55,68,28,44,98,61,306,307,241,230,92,121,95,75,134,52,44,172,116,208,176,112,61,30,3448009,3391846,6839855, ,3445,1727,1688,5030,Antioquia,Amagá,0.2759,0.7828,0.625440622,0,31.9,39.58,229.7566342,0.115720524,6,0.0102747,Medio bajo,2
5031,22253,36.24,63.75,22.55,77.45,262,115,157,62,88,123,97,143,192,175,182,233,184,704,1168,635,1045,786,704,257,284,366,316,244,394,260,212,303,401,960,296,407,172,86,14087770,9792579,23880349,1,12014,7055,4872,5031,Antioquia,Amalfi,0.541,0.8156,0.617913486,0,37.7,27.65,1073.129421,0.539882263,8,0.032705911,Alto,4
5034,46221,35.78,64.21,26.09,73.91,194,54,116,55,79,75,182,291,261,161,126,148,239,262,274,223,385,433,409,348,312,287,396,363,368,315,136,170,250,235,272,193,91,37,7915562,7503867,15419429, ,7740,3967,3736,5034,Antioquia,Andes,0.3829,0.7956,0.624586789,0,32.2,29.32,333.6022371,0.167456351,8,0.014118846,Medio bajo,2
5036,9082,35.51,64.48,27.98,72.02,20, ,3, ,5,16,6,11,26,12,27,15,28,43,195,400,609,254,126,95,69,23,39,63,8,7,12,12,29,90,30,20,13,13,3590189,1024176,4614365, ,2319,1796,510,5036,Antioquia,Angelópolis,0.3724,0.8155,0.610892784,0,31.5,26.6,508.0780665,0.255340233,5,0.008659473,Medio bajo,2
5038,11240,39.29,60.7,21.13,78.87,26,16,15,7,23,19,26,54,109,89,59,41,110,130,124,168,166,1922,384,220,147,189,189,104,131,97,108,129,44,133,173,365,61,38,6973202,4199605,11172807,1,5617,3488,2090,5038,Antioquia,Angostura,0.471,0.7736,0.589560654,0,41.2,28.6,994.0219751,0.499733096,7,0.035127975,Alto,4
5040,17304,64.92,35.07,26.77,73.23,166,33,21,19,34,27,25,75,48,32,49,46,79,336,311,323,688,2557,488,169,413,309,428,524,820,325,327,6676,590,604,462,500,166,91,10708810,24753687,35462497,2,17763,5357,12313,5040,Antioquia,Anorí,0.58,0.8293,0.663007811,0,38.9,25.51,2049.381472,1.026525659,9,0.111214787,Muy Alto,5
5042,24724,30.1,69.89,39.82,60.18,87,35,12,56,9,24,21,89,34,95,85,217,441,405,283,363,404,388,317,474,303,198,139,193,134,89,64,126,141,87,61,79,62,22,6720386,4315562,11035948, ,5537,3365,2150,5042,Antioquia,Santafé de Antioquia,0.4478,0.7548,0.629988221,0,31,34.36,446.3657984,0.223952435,7,0.020028831,Medio,3
5044,7580,32.91,67.08,20.12,79.88,83,13, ,19,32,44,38,48,46,37,38,109,263,145,250,350,3044,195,213,123,129,84,78,83,71,42,44,49,30,23,19,29,108,9,9927434,1831367,11758801,2,5890,4967,912,5044,Antioquia,Anza,0.4771,0.6918,0.585651279,0,42.3,29.79,1551.293008,0.777044855,7,0.011161889,Medio bajo,2
5045,183716,52.32,47.67,31.34,68.66,1360,453,606,946,1344,1207,1501,1197,1759,3011,6115,6034,6901,12622,5097,3465,5946,4239,4112,1608,2066,4060,3543,3022,2558,1910,1347,1497,1772,1920,1820,1410,634,504,135556800,58580389,194137189,3,97589,67915,29167,5045,Antioquia,Apartadó,0.342,0.7996,0.647534299,1,25.8,22.99,1056.72445,0.531194888,10,0.014040563,Medio bajo,2
5051,41209,65.58,34.41,27.34,72.66,353,333,258,366,847,864,2699,774,1994,4054,1984,2795,960,3462,1101,779,927,946,650,440,511,547,485,456,614,328,316,279,323,220,208,140,168,54,52134193,10110730,62244923,1,31236,26146,5035,5051,Antioquia,Arboletes,0.4824,0.6838,0.614664597,1,46.1,23.09,1510.469145,0.75798976,10,0.004807524,Bajo,1
5055,8578,32.48,67.51,31.16,68.84,628,141,59,121,130,110,204,156,158,180,158,300,331,480,534,860,1763,1284,7987,2154,2144,4356,3540,695,457,104,66,56,125,81,65,87,9,1,31154818,27951703,59106521, ,29524,15584,13939,5055,Antioquia,Argelia,0.4573,0.6372,0.620560698,0,39.2,42.09,6890.478083,3.441827932,10,0.088912413,Muy Alto,5
5059,4110,30.8,69.19,21.18,78.82,15, , ,2,1, ,3,7,7, ,11,23,13,18,28,69,166,105,60,12,118,48,14,33,23,28,24,8,148,82,27,26,42,25,1055386,1272109,2327495, ,1186,528,633,5059,Antioquia,Armenia,0.4304,0.6718,0.600752125,1,31.3,43.05,566.3004866,0.288564477,4,0.006845373,Medio bajo,2
5079,50836,32.64,67.35,34.84,65.16,208,12,15,20,32,88,118,209,164,154,183,235,222,227,348,224,1583,728,614,291,182,266,293,244,193,108,109,197,193,209,225,154,44,66,10754413,5439367,16193780,1,8159,5384,2708,5079,Antioquia,Barbosa,0.3248,0.8591,0.6545998,0,31.6,42.41,318.57452,0.160509128,8,0.013832531,Medio bajo,2
5086,6823,43.37,56.62,33.63,66.37,16, ,7,8,7, ,10,8,2,15, ,9,35,130,100,48,57,36,33,28,47,26,5,52,18,97,53,5,22,40,26,47,11,7,1040444,958427,1998871, ,1005,521,477,5086,Antioquia,Belmira,0.509,0.752,0.637146621,0,31.2,34.06,292.9607211,0.147295911,4,0.006142823,Bajo,1
